brigitte bardot
charles s. dutton
james duval
george dzundza
christopher eccleston
aaron eckhart
barbara eden
nicole eggert
chris eigeman
britt ekland
carmen electra
bodhi elfman
jenna elfman
hector elizondo
noah emmerich
david prowse
adam sandler
john mark robinson
shelley fabares
jeff fahey
anna falchi
debrah farentino
gary farmer
mia farrow
william fichtner
chelsea field
joseph fiennes
harvey fierstein
tara fitzgerald
fionnula flanagan
sean patrick flanery
louise fletcher
calista flockhart
lara flynn boyle
megan follows
peter fonda
claire forlani
robert forster
william forsythe
meg foster
samantha fox
dennis franz
matt frewer
sadie frost
mira furlan
dan futterman
monique gabrielle
charlotte gainsbourg
peter gallagher
vincent gallo
mason gamble
victor garber
jennie garth
rebecca gayheart
jason gedrick
sarah michelle gellar
susan george
gil gerard
balthazar getty
melissa gilbert
annabeth gish
paul michael glaser
scott glenn
john glover
jenette goldstein
tony goldwyn
louis gossett jr.
elliott gould
elizabeth gracen
heather graham
richard e. grant
rupert graves
erin gray
seth green
graham greene
joel grey
richard grieco
charles grodin
christopher guest
carla gugino
lukas haas
stacy haiduk
anthony michael hall
philip baker hall
george hamilton
john hannah
marcia gay harden
mark harmon
valerie harper
ian hart
josh hartnett
david hasselhoff
robert hays
tippi hedren
katherine heigl
marg helgenberger
katherine helmond
carrie henn
gregg henry
barbara hershey
jennifer love hewitt
terence hill
ciarán hinds
hulk hogan
paul hogan
hal holbrook
jane horrocks
c. thomas howell
ernie hudson
finola hughes
tom hulce
linda hunt
isabelle huppert
olivia hussey
anjelica huston
david hyde pierce
eric idle
natalie imbruglia
kathy ireland
amy irving
irène jacob
derek jacobi
jenna jameson
marianne jean-baptiste
michelle johnson
angelina jolie
carol kane
mitzi kapture
shekhar kapur
tchéky karyo
william katt
julie kavner
catherine keener
david keith
sally kellerman
udo kier
ben kingsley
greg kinnear
takeshi kitano
wayne knight
charlie korsmo
yaphet kotto
lisa kudrow
swoosie kurtz
anthony lapaglia
cheryl ladd
christine lahti
ricki lake
lorenzo lamas
nathan lane
jessica lange
frank langella
angela lansbury
piper laurie
martin lawrence
matt leblanc
kelly lebrock
james le gros
cloris leachman
virginie ledoyen
jason scott lee
kay lenz
jared leto
charlotte lewis
jet li
laura linney
tommy 'tiny' lister
john lithgow
robyn lively
june lockhart
shelley long
tina louise
courtney love
jon lovitz
john lynch
kelly lynch
melanie lynskey
kyle maclachlan
ralph macchio
amy madigan
tobey maguire
tina majorino
dinah manoff
joe mantegna
jane march
cheech marin
mary elizabeth mastrantonio
tim matheson
joseph mazzello
catherine mccormack
dylan mcdermott
ian mcdiarmid
christopher mcdonald
mary mcdonnell
natascha mcelhone
paul mcgann
john c. mcginley
elizabeth mcgovern
don mckellar
nancy mckeon
william mcnamara
kristy mcnichol
meat loaf
michelle meyrink
dale midkiff
jonny lee miller
hayley mills
rachel miner
kylie minogue
jay mohr
gretchen mol
rick moranis
rita moreno
cathy moriarty
rob morrow
david morse
viggo mortensen
mr. t
ornella muti
kathy najimy
kitten natividad
bebe neuwirth
connie nielsen
lisa niemi
chuck norris
edward norton
kim novak
danny nucci
catherine o'hara
michael o'keefe
tatum o'neal
annette o'toole
edward james olmos
ashley olsen
mary-kate olsen
susan olsen
miranda otto
kelly packard
joanna pacula
michael palin
chazz palminteri
joe pantoliano
anna paquin
anne parillaud
michael paré
mandy patinkin
robert patrick
will patton
adrian paul
david paymer
guy pearce
nia peeples
amanda peet
sydney penny
barry pepper
rosie perez
max perlich
matthew perry
bernadette peters
lori petty
mekhi phifer
lou diamond phillips
joaquin phoenix
summer phoenix
bronson pinchot
danny pintauro
maria pitillo
oliver platt
amanda plummer
christopher plummer
sidney poitier
kevin pollak
tracy pollan
sarah polley
teri polo
annie potts
cch pounder
priscilla presley
jürgen prochnow
vincent perez
randy quaid
linnea quigley
aidan quinn
ted raimi
charlotte rampling
michael rapaport
john ratzenberger
stephen rea
rob reiner
judge reinhold
paul reiser
jonathan rhys meyers
kim richards
miranda richardson
diana rigg
mark rolston
robert romanus
katharine ross
rick rossovich
cynthia rothrock
gena rowlands
alan ruck
mercedes ruehl
jennifer runyon
geoffrey rush
eva marie saint
meredith salenger
julian sands
chris sarandon
john savage
devon sawa
rob schneider
michael schoeffling
til schweiger
david schwimmer
tracy scoggins
izabella scorupco
campbell scott
kyle secor
kyra sedgwick
george segal
ivan sergei
rufus sewell
tony shalhoub
helen shaver
wallace shawn
craig sheffer
deborah shelton
cybill shepherd
nicollette sheridan
armin shimerman
talia shire
pauly shore
martin short
jonathan silverman
o.j. simpson
marc singer
tom sizemore
stellan skarsgård
ione skye
charles martin smith
kurtwood smith
maggie smith
madolyn smith osborne
jimmy smits
p.j. soles
suzanne somers
kevin sorbo
timothy spall
vincent spano
tori spelling
jerry springer
jill st. john
nick stahl
john stamos
imelda staunton
howard stern
fisher stevens
stella stevens
patrick stewart
dean stockwell
peter stormare
julie strain
sally struthers
kristy swanson
george takei
jeffrey tambor
heather thomas
henry thomas
jonathan taylor thomas
richard thomas
rachel ticotin
kevin tighe
rip torn
nancy travis
danny trejo
stanley tucci
john turturro
cicely tyson
tracey ullman
jay underwood
dick van dyke
reginald veljohnson
jesse ventura
petra verkaik
jan-michael vincent
robert wagner
ally walker
m. emmet walsh
melora walters
rachel ward
sophie ward
david warner
sam waterston
emily watson
carl weathers
steven weber
rachel weisz
tuesday weld
ming-na wen
george wendt
frank whaley
forest whitaker
vanna white
dianne wiest
kathleen wilhoite
billy dee williams
jobeth williams
treat williams
vanessa williams
rita wilson
thomas f. wilson
henry winkler
mare winningham
alicia witt
katarina witt
mary woronov
kari wuhrer
noah wyle
amy yasbeck
bolo yeung
amy yip
michael york
tina yothers
pia zadora
steve zahn
anthony zerbe
catherine zeta-jones
daphne zuniga
maryam d'abo
olivia d'abo
jenna von oÿ
max von sydow
howard ross
anthony higgins
norma aleandro
björn andrésen
philip anglim
little oral annie
margaret avery
josiane balasko
kabir bedi
roxanne blaze
richard belzer
maurice benard
iris berben
luca bercovici
marisa berenson
steve bisley
rubén blades
moritz bleibtreu
claire bloom
ann blyth
john wayne bobbitt
corinne bohrer
romane bohringer
jesse borrego
élodie bouchez
elizabeth bracco
klaus maria brandauer
ewen bremner
christie brinkley
blair brown
tom burlinson
naomi campbell
christy canyon
tantoo cardinal
leslie caron
elpidia carrillo
vincent cassel
george chakiris
patricia charbonneau
shin'ichi chiba
david chokachi
sarita choudhury
thomas haden church
christian clavier
randall 'tex' cobb
tom conti
matt craven
mary crosby
ben cross
maria grazia cucinotta
roger daltrey
tyne daly
cliff de young
vanessa del rio
madhuri dixit
robert downey sr.
sheena easton
alison eastwood
christine ebersole
richard edson
samantha eggar
lisa eichhorn
lisa eilbacher
kathryn erbe
linda evans
mimsy farmer
will ferrell
lou ferrigno
jason flemyng
dexter fletcher
frederic forrest
edward fox
carl franklin
brenda fricker
zach galligan
michael gambon
judy geeson
laura gemser
marie gillain
robin givens
sharon gless
julian glover
judith godrèche
faye grant
rodney a. grant
karen grassle
kim greist
wayne gretzky
paul guilfoyle
arsenio hall
harry hamlin
melora hardin
tonya harding
dorian harewood
mariska hargitay
tess harper
gregory harrison
kathryn harrold
pamela hensley
judd hirsch
sandrine holt
mary beth hurt
herbert achternbusch
willeke van ammelrooy
imanol arias
frank decaro
christopher bradley
mike hagerty
katt shea
sam douglas
patrick robert smith
john carroll lynch
j.p. manoux
loren avedon
timm zemanek
al sapienza
stephen lang
adrian g. griffiths
tom judson
kate o'toole
jim meskimen
jd roberto
dante basco
dion basco
dwayne adway
paris themmen
harry jay knowles
cam cronin
shannon elizabeth
lee purcell
ryan koch
emmy rossum
john jabaley
mena suvari
claudette nevins
billy maddox
melissa reneé martin
glenn saxson
rick johnson
sreedevi mina
robert benedetti
ken rush
steven warren hill
warwick young
yûki masuda
orestes matacena
diane ladd
richard anselmo
christopher kendra
danica decosto
leland l. jones
paulette rubinstein
ben eberhard
daniel mcvicar
norma maldonado
larry mendte
laurie murdoch
scott levy
ashley edner
bobby edner
john 'j.t.' tully
ken tipton
michael kearns
beatrice ring
stephen blackehart
ann e. todd
burke moses
muse watson
alexander skarsgård
chris jaymes
jarrell jay knowles
julie st. claire
kristina anapau
verton r. banks
michael boisvert
kevin mukherji
j. keith van straaten
andrew stevens
rosa maria sardà
egidio tari
michael jordan
mason alan dinehart
sebastian roché
james dumont
john michael weatherly
roger cross
bailey chase
martin faltýn
jean-christophe bouvet
sara barrett
jordan foster
athena massey
c. ernst harth
joe hackett
jordi mollà
sterling wolfe
lisa cangelosi
michael bard bayer
johnny kim
taylor st. clair
viktor giacobbo
charles homet
joshua j. masters
marni lustig
judy norton
patrick granier
nathan anderson
alain zouvi
joseph baldwin
bubba baker
bill tarling
gianni fantoni
john henry canavan
heinrich schafmeister
steve tom
doug olear
michel blanc
daniela akerblom
corey klemow
troy bishop
charlie condou
moet meira
kate reid
otakar brousek
owen roe
jim brooks
julie dretzin
anthony green
daniel osers
alessandra torresani
joe grisaffi
shane daly
sean michael fish
kate forster
liselotte pulver
nick brimble
ingrid schoelderle
femke-anna broere
darla crane
michael townsend wright
mel stewart
owen brenman
david jensen
marilyn ghigliotti
michael lonsdale
travis fine
jeff ferris
julianne buescher
bob clendenin
blake bashoff
ian james corlett
pat mastroianni
frank c. turner
stephanee lafleur
lydia cornell
daniel bacon
john karyus
brian cox
russell yuen
klaus christian schreiber
bobbie phillips
leesa castaneda
alec von bargen
gulshan grover
mark frost
david mckail
aure atika
tasma walton
tia texada
vince corazza
mikko nousiainen
bo svenson
drew wood
helene egelund
debbie rochon
ângelo antônio
meg thalken
georges corraface
pino ammendola
andré kaminski
maria herrera
anne hathaway
paul hipp
cristine rose
clifton collins jr.
nadia bjorlin
michael stearns
tamara torres
alexandra adi
gavin hood
shirley knight
eric le roy
lawrence r. leritz
hrithik roshan
kam heskin
roger ashton-griffiths
lisa jakub
rakesh roshan
fred williamson
robert lyon rasner
robert david hall
franka potente
antoine de caunes
emma de caunes
helmi sirkiä
adam scott
kathy wittes
mark neveldine
jonathan levit
kunal kapoor
jean-louis trintignant
satyanarayana kaikala
srinivasa rao kota
bruno ganz
juhi chawla
michael swiney
jason alexander
pip mushin
aiden shaw
vanessa williams
peter greenwood
hema malini
rhoda kaindl
ike gingrich
sanjay dutt
dan van husen
john 'bud' cardos
paul robert langdon
alfred f. woodley
thomas morris
kareena kapoor
andrea powell
antonio sabato jr.
antonio sabato
carroll baker
marisa paredes
rocco salata
kevin cooney
mark addy
jessica alba
buzz aldrin
erika alexander
kim alexis
tatyana ali
marcus allen
summer altice
mario andretti
michael andretti
giuseppe andrews
naveen andrews
jodi applegate kay
will arnett
jennifer aspen
christine baranski
charles barkley
lance bass
kylie bax
michael beach
orson bean
boris becker
tyson beckford
james van der beek
jason behr
shari belafonte
catherine bell
lauralee bell
camilla belle
maria bello
gil bellows
paulo benedeti
wes bentley
julie benz
emily bergl
crystal bernard
troy byer
leslie bibb
jessica biel
jason biggs
selma blair
asha blake
jennifer blanc-biehn
rachel blanchard
david boreanaz
da brat
lisa brenner
angelica bridges
todd bridges
erin brockovich-ellis
adrien brody
bobbie brown
kimberly j. brown
ryan browning
delta burke
brooke burns
saffron burrows
rebeccah bush
amanda bynes
scott caan
ashley tesoro
monica calhoun
jessica campbell
tevin campbell
bruno campos
jessica capshaw
nestor carbonell
linda cardellini
drew carey
charisma carpenter
gabriel carpenter
lisa nicole carson
deana carter
lynda carter
nancy cartwright
jessica cauffiel
lumi cavazos
jo champa
morris chestnut
michael chiklis
scarlett chorvat
china chow
emmanuelle chriqui
helena christensen
eddie cibrian
spencer treat clark
tamara clatterbuck
stephen collins
dan cortese
marisa coughlan
cathy lee crosby
penélope cruz
jane curtin
billy ray cyrus
tim daly
patrika darbo
dana daurey
josie davis
kristin davis
taylor dayne
amanda de cadenet
james debello
majandra delfino
paula devicq
don diamont
andy dick
taye diggs
kevin dobson
snoop dogg
micky dolenz
plácido domingo
phil donahue
tate donovan
roma downey
fred dryer
nora dunn
debbe dunning
hallie eisenberg
david james elliott
omar epps
ethan erickson
rob estes
esther cañadas
angie everhart
ava fabian
peter facinelli
edie falco
david faustino
angela featherstone
oded fehr
giselle fernandez
conchata ferrell
kim fields
danielle fishel
frances fisher
joely fisher
michael flatley
jennifer flavin
heidi fleiss
dave foley
scott foley
faith ford
ben foster
jamie foxx
soleil moon frye
daisy fuentes
randy gardner
jennifer gareis
troy garity
jennifer garner
brad garrett
cynthia garrett
steve garvey
galen gering
anna getty
marla gibbs
thomas gibson
peri gilpin
dale godboldo
adam goldberg
bill goldberg
jaime gomez
jill goodacre
mark-paul gosselaar
samaria graham
brian austin green
adrian grenier
david alan grier
kathy griffin
deidre hall
edd hall
lisagay hamilton
colin hanks
alyson hannigan
angie harmon
hill harper
desmond harrington
mel harris
steve harris
melissa joan hart
lisa hartman
shawn hatosy
tony hawk
patricia heaton
elaine hendrix
jill hennessy
lori heuring
iben hjejle
david hockney
alexandra holden
katie holmes
evander holyfield
bo hopkins
josh hopkins
kaitlin hopkins
peter horton
djimon hounsou
terrence howard
traylor howard
kelly hu
liza huber
kate hudson
oliver hudson
felicity huffman
sammo kam-bo hung
amy hunter
rachel hunter
james hyde
laura innes
jason isaacs
ray j
jonathan jackson
joshua jackson
shar jackson
thomas jane
allison janney
justin jeffre
dominique jennings
amy jo johnson
magic johnson
kristen johnston
january jones
tamala jones
vinnie jones
al joyner
naomi judd
kato kaelin
melina kanakaredes
james keach
stacy keach
josh keaton
andrew keegan
mary page keller
jamie kennedy
leila kenzle
joanna kerns
boyd kestner
don king
regina king
alex kingston
justin kirk
chris kirkpatrick
bryan kirkwood
chris klein
jordan knight
lindsay hartley
heather kozar
jane krakowski
ilia kulik
mila kunis
ashton kutcher
michelle kwan
ll cool j
eriq la salle
nick lachey
leah lail
ali landry monteverde
artie lange
wallace langham
sherry lansing
ali larter
sanaa lathan
matt lauer
greg lauren
lucy lawless
joey lawrence
sharon lawrence
priscilla inga taylor
jason lee
jane leeves
kristin lehman
eva tamargo
sugar ray leonard
lisa leslie
g. gordon liddy
delroy lindo
tara lipinski
jonathan lipnicki
peggy lipton
lucy liu
eric lloyd
jake lloyd
sabrina lloyd
nick loeb
chad lowe
susan lucci
lorna luft
jamie luner
natasha lyonne
angus macfadyen
norm macdonald
roma maffia
ann magnuson
wendie malick
howie mandel
barbara mandrell
camryn manheim
leslie mann
patricia manterola
marla maples
constance marie
james marsden
jason marsden
paula marshall
kellie martin
danny masterson
monet mazur
shalane mccall
catherine mccord
eric mccormack
mary mccormack
paul mccrane
kimberly mccullough
james mcdaniel
reba mcentire
trina mcgee
mark mcgrath
danica mckellar
ian mckellen
jenny mcshane
janet mcteer
tim meadows
tamara mello
christopher meloni
alex meneses
debra messing
breckin meyer
michael michele
dash mihok
izabella miko
tangi miller
donna mills
judson mills
juliet mills
beverley mitchell
kel mitchell
ralf moeller
meredith monroe
fernanda montenegro
shemar moore
esai morales
debbi morgan
mari morrow
fabrice morvan
carrie-anne moss
elisabeth moss
tahj mowry
tamera mowry-housley
bridget moynahan
patrick muldoon
megan mullally
frankie muniz
elise neal
kevin nealon
craig t. nelson
corin nemec
thomas ian nicholas
alessandro nivola
gena lee nolin
brandy norwood
jerry o'connell
rosie o'donnell
jodi lyn o'keefe
mike o'malley
jacqueline obradors
chris olivero
haley joel osment
catherine oxenberg
master p
erika page white
erik palladino
paula jai parker
tatjana patitz
sarah paulson
allen payne
amanda pays
austin peck
piper perabo
pauley perrette
cassandra peterson
joy philbin
regis philbin
busy philipps
bijou phillips
drew pinsky
jeremy piven
mary kay place
carlos ponce
carly pope
paulina porizkova
monica potter
sarah-jane potts
paula poundstone
maury povich
keri lynn pratt
jaime pressly
freddie prinze jr.
sarah purcell
buddy quaid
ingo rademacher
cassidy rae
natalie raitano
sheryl lee ralph
theresa randle
sheeri rappaport
kim raver
peter reckell
norman reedus
joe regalbuto
tara reid
tim reid
gloria reuben
simon rex
ryan reynolds
caroline rhea
alfonso ribeiro
marissa ribisi
jerry rice
patricia richardson
lisa rinna
vincent riverside
kathleen robertson
holly robinson peete
lela rochon
sam rockwell
brande roderick
dennis rodman
ray romano
rebecca romijn
summer rose
charlotte ross
marion ross
cecilia roth
brad rowe
victoria rowell
keri russell
kelly rutherford
jeri ryan
cristina saralegui
michael saucedo
ben savage
ricky schroder
travis schuldt
rusty schwimmer
seann william scott
william lee scott
katey sagal
rita sever
jane seymour
china shavers
vinessa shaw
lin shaye
rhonda shear
marley shelton
hilary shepard
grant show
victoria silvstedt
jessica simpson
jeremy sisto
azura skye
kelly slater
lindsay sloane
amy smart
jean smart
keely shaye brosnan
kerr smith
leelee sobieski
marla sokoloff
josé solano
david spade
dana sparks
hal sparks
scott speedman
randy spelling
dina spybey-waters
jason statham
liz stauber
mary steenburgen
leslie stefanson
alana stewart
julia stiles
jerry stiller
kimberly stewart
nicole sullivan
david sutcliffe
hilary swank
larenz tate
victoria tennant
joe theismann
tiffani thiessen
marlo thomas
andrea thompson
scott 'carrot top' thompson
courtney thorne-smith
alexis thorpe
maura tierney
charlene tilton
david tom
heather tom
nicholle tom
concetta tomei
lily tomlin
liz torres
lorraine toussaint
michelle trachtenberg
lee trevino
ivana trump
janine turner
tracy tweed
mike tyson
alanna ubach
kim johnston ulrich
blair underwood
gabrielle union
wilmer valderrama
amber valletta
joan van ark
mario van peebles
steven van zandt
courtney b. vance
mark vanderloo
sofía vergara
scott vickaryous
lisa vidal
katie wagner
donnie wahlberg
kate walsh
maitland ward
estella warren
barry watson
rolonda watts
marlon wayans
veronica webb
victor webster
alexandra wentworth
joel west
lynn whitfield
jane wiedlin
james wilder
jason wiles
edy williams
harland williams
kelli williams
luke wilson
owen wilson
russell wong
alfre woodard
lisa zane
dweezil zappa
ian ziering
drea de matteo
portia de rossi
christy carlson romano
david l. lander
tammy lynn michaels
serena scott thomas
grand l. bush
jérémie elkaïm
maurice lamarche
gregor törzs
tangerine dream
june chadwick
julie caitlin brown
roy billing
manoj kumar
pierre-alexis hollenbeck
richard halpern
claudette mink
laird stuart
arlene dahl
karisma kapoor
erin daniels
jason kravits
daniella evangelista
paul mcguigan
boris tokarev
haydn gwynne
doug hutchison
shawne fielding
pons maar
dietrich siegl
asia carrera
philippe leroy
steven schub
heather lauren olson
shelley malil
anthony lucero
donal logue
giancarlo magalli
soraya sala
torben liebrecht
laura palmer
